"_id",business_id,review_id,stars,text,useful
5ad77a48d209ba1dce460064,eLFfWcdb7VkqNyTONksHiQ,7ECYfYWSx5_SEIYsDiCZ1A,5,"Great all you can eat Korean BBQ. Very clean, good food, our server Jay-Ar was great and very attentive to his customers. I would highly recommend this place.",1
5ad77a94d209ba1dce5c7096,Yp9w4nhUowBU_IS_StFXbQ,uBkU8wLvQCCCL0TZ8ESLaw,5,"This place is sort of hidden.  It's behind the tower suites so you kind of have to look for it on the map or ask the workers to lead you there. It was our last day in vegas and we had resort credit to spend still. We ordered the seafood platter $72 which was AMAZINGGGGG!! We also got the duck ravioli, Prawns plate, Salmon salad and a few other plates. The service here was perfect and didn't come to the table too many times to disturb us. YOU HAVE TO GET THE DUCK RAVIOLI! So delicious!!! I will have to come back here to eat all the other good stuff on the menu but there wasn't one thing that we weren't disappointed about.",1
5ad77b87d209ba1dce91f888,5md4i4diIWMNYQgHMj_Nbg,4xlVPqc8nuEWeIQYCL0FEA,5,"The hoover dam kayaking tour was great. No problems at all- the entire trip was smooth and efficient. We paddled the entire day, hiked to the hot spring and more paddling and hiking! Our tour guy, Alex was excellent. He is very knowledgeable, friendly and helped us take pictures along the way. We had Mcdonalds breakfast and some Arby's sandwiches, grapes, crackers for lunch; and an abundant supply of water during the entire trip. Very enjoyable!",0
5ad77aead209ba1dce6dccd7,XBEx2FI2GKmsjs7eWNr7Lw,CyaJqWU8bmaEPLWgxekAOg,5,"Awesome acai bowls. As a cheesecake lover, I was pleasantly surprised to try their cheesecake flavored Acai bowl. Would definitely return!",1
5ad77b49d209ba1dce83bff8,4JNXUYY8wbaaDmk3BPzlWw,34oG__K5A98aSVpUqMGMzQ,2,"I love this place. i really do. the food is pretty good, but this time just sucked....... Checked in, was told it was 15-30 minutes for an outside patio table. Weather was perfect, so we decided to wait. 45 minutes later (with my buzzer in hand) i was told my reservation was lost and i'd have the next available table.\nStrolling through the restaurant, passing a table for 2 at the outside rail, we were seated at a table for 4 right next to the goddamn server station. \nFor an hour i was continuously bumped and kicked by servers sitting here and the ONLY reason i didn't blow up, is because this was my wifes birthday weekend and she specifically wanted to go here. \n$150 for lunch, including cocktails......",2
5ad77b43d209ba1dce827404,Tf13Wexrt6WmNw-CDW5Gyg,gfcaU8pMwZ7A8R-y97ivlQ,2,"The Meatball Spot was okay, not great, not terrible, just okay.  I think it has a good vibe and good concept but based on what I ordered I think their food is just so-so.  I ordered the turkey meatballs with the classic tomato sauce.  I also ordered a side of Parmesan fries.  The meatballs didn't wow me.  They were very, very dry and didn't have enough flavor.  There was nothing to make me want more.  The classic tomato sauce was okay.  I liked the texture of the crispy fries, but they didn't have much flavor either.  They had parmesan sprinkled on top, but nothing stuck to the fries.  There was also only a hint of garlic. Just not enough flavor.  \n\nIt seems like it would be fun during happy hour, but until their signature meatballs improve, I won't be back.",0
5ad77bb2d209ba1dce9d30d4,kxr6vd9Z4M1GwGc751Z3CA,SkCfL7qoor1t5gc11zZwNg,1,They brought me a walker and I found out when trying to use it it is missing a bolt and unusable. I called them and they said I have to bring it to them to get a new one. I do not drive and they are 35 miles from me. So I am stuck and have no recourse. Terrible customer service. Do not use them.,3
5ad77a85d209ba1dce5848b4,roK6f1bMuKG3XC-r01Oo5w,IqVR2uIirQNGStQzjCFuuQ,5,CLYC!....Love spending time here. Always a great time with friends. Very accommodating and easy to work with. My husband takes care of boat and I do everything else and just love working with these people down here. We will be lifelong residents lol...Kids love it even as they are getting a little older...I think they are starting to get why we like it so much.\n\n From Happy Sunsets!,0
5ad77b43d209ba1dce8280df,D4KQSY_8qsx6n-ANwPfFuQ,LrHgcV8v8Mshx75DIc71ag,5,"WOW is all I have to say about this place. I've been to a lot of these locally run nail salons, but they all seem to lack what this place HAS! Their grand opening was Tuesday, & a friend of mine scheduled appointments for a group of 4 of us to get pedicures (because they were offering a 20% discount for the grand opening). The owner not only remembered her name the entire time, but he made all of us feel so WELCOME. He brought out plates of cheese and crackers along with a bottle of red wine. We most definitely were not expecting anything like this. I mean, come on, what girl doesn't want to be wine and dined? My crew and I definitely ate all of that royal treatment up! \n\nNow onto the pedicure. They offer a menu of different pedicures that you can choose from, but I went for the ""ultimate herbal pedicure."" It consisted of dried herbal leaves of my choice (peppermint & lavender). It was so relaxing, and my tech, Adrianna, was simply AMAZING. She was so meticulous in making sure that I was comfortable, relaxed, and happy with her work. \n\nI was INCREDIBLY happy with her work and will be requesting her again when I return. \n\nThe facility is new, clean, modern and very chic. I know my friends and I shared the same satisfied experience.",4
5ad77a2cd209ba1dce39efac,MmQsPiVSN08WtmlsC_ZSVA,hcNYz8UFZXltwr6s1TdY7g,3,"It's OK.  I have been there a few times, but I do not like eating outside on a patio when its hot and I hate eating in my car.  It makes it difficult to eat there in June, July and August or any day the weather is less than ideal.  I wish they had a salsa bar outside so I could get more salsa or try the other ones.  I also wish they had an outside drink station to get more water or tea.  I do not enjoy standing in line a second time because I am thirsty.  Over all if you are hungry this place is OK if the weather is OK too.",4
